RestaurantName,Category,Pricing,Locality,DiningRating,DiningReviewCount,DeliveryRatingCount
Rustom's,"Parsi, Street Food, North Indian, Desserts, Beverages",2100," ITO, New Delhi",4.9,1885,1844
Cafe Lota,"Cafe, South Indian, North Indian, Beverages",1200," Pragati Maidan, New Delhi",4.9,3748,37
Dum-Pukht - ITC Maurya,"Mughlai, North Indian, Desserts",5000," ITC Maurya, Chanakyapuri, New Delhi",4.9,1371,0
Burma Burma,"Asian, Burmese, Bubble Tea, Desserts, Salad",1600," Cyber Hub, DLF Cyber City, Gurgaon",4.9,2636,1238
The Big Chill,"Continental, American, Italian",1500," Khan Market, New Delhi",4.9,6487,0
Carnatic Cafe,South Indian,600," Lodhi Colony, New Delhi",4.9,2518,931
"Cocktails & Dreams, Speakeasy","Nepalese, Tibetan, Beverages",2500," Sector 15, Gurgaon",4.9,1299,25
Natural Ice Cream,"Ice Cream, Desserts",400," Connaught Place, New Delhi",4.9,4014,6969
Kuremal Mohan Lal Kulfi Wale,"Ice Cream, Desserts",200," Chawri Bazar, New Delhi",4.9,1120,5
Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages",700," Kailash Colony, New Delhi",4.8,2480,573
Comorin,"North Indian, Desserts, Beverages",2500," Two Horizon Center, Golf Course Road, Gurgaon",4.8,803,217
Viet:Nom,"Vietnamese, Beverages",2000," Cyber Hub, DLF Cyber City, Gurgaon",4.8,1381,75
Cafeteria & Co.,"Cafe, Continental, Italian, Fast Food, Oriental, Beverages",1300," Vijay Nagar, New Delhi",4.8,5228,2037
Sana-Di-Ge,"Mangalorean, Seafood, Goan, South Indian, North Indian, Kerala",2200," Chanakyapuri, New Delhi",4.8,2038,172
Pa Pa Ya,"Asian, Chinese, Thai, Japanese, Sushi, Malaysian, Momos, Beverages",2500," Select Citywalk Mall, Saket, New Delhi",4.8,4077,125
Yum Yum Cha,"Asian, Japanese, Sushi, Desserts, Beverages, Rolls",1800," Cyber Hub, DLF Cyber City, Gurgaon",4.8,1742,643
Coast Cafe,"Continental, Kerala",1400," Hauz Khas Village, New Delhi",4.8,1472,2115
PizzaExpress,"Fast Food, Italian, Beverages, Desserts",1000," Ambience Mall, DLF Phase 3, Gurgaon",4.8,3077,1831
The Big Chill Cakery,"Bakery, Desserts",400," DLF Mall of India, Sector 18,  Noida, Noida",4.8,884,0
Music & Mountains - Hillside Cafe,"Cafe, Italian, Continental, Fast Food, Salad, Beverages",2100," M Block Market, Greater Kailash 1 (GK1), New Delhi",4.7,3731,348
Gulati,"North Indian, Biryani, Hyderabadi, Mughlai, Kebab",2500," Pandara Road Market, New Delhi",4.7,6509,10500
Olive Bar & Kitchen,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",4000," Mehrauli, New Delhi",4.7,2734,21
The Grammar Room,"Continental, Desserts, Beverages",1200," Mehrauli, New Delhi",4.7,1068,20
Chaina Ram Sindhi Confectioners,"Mithai, Street Food",350," Chandni Chowk, New Delhi",4.7,1155,0
